Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.3, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Test 103, loss: 1.460221, test acc: 0.913695, test avg acc: 0.878419
Train 104, loss: 1.437789, train acc: 0.938836, train avg acc: 0.907510
Test 104, loss: 1.463162, test acc: 0.911669, test avg acc: 0.879407
Train 105, loss: 1.435608, train acc: 0.940584, train avg acc: 0.910938
Test 105, loss: 1.465784, test acc: 0.908833, test avg acc: 0.871576
Train 106, loss: 1.433151, train acc: 0.942743, train avg acc: 0.914722
Test 106, loss: 1.470529, test acc: 0.905186, test avg acc: 0.857959
Train 107, loss: 1.435906, train acc: 0.939864, train avg acc: 0.910645
Test 107, loss: 1.502689, test acc: 0.895462, test avg acc: 0.859837
Train 108, loss: 1.436798, train acc: 0.939145, train avg acc: 0.906993
Test 108, loss: 1.487448, test acc: 0.901945, test avg acc: 0.868221
Train 109, loss: 1.433217, train acc: 0.943051, train avg acc: 0.914287
Test 109, loss: 1.466954, test acc: 0.912075, test avg acc: 0.880081
Train 110, loss: 1.431108, train acc: 0.944490, train avg acc: 0.915513
Test 110, loss: 1.461604, test acc: 0.910454, test avg acc: 0.878128
Train 111, loss: 1.429388, train acc: 0.944387, train avg acc: 0.916149
Test 111, loss: 1.497435, test acc: 0.900324, test avg acc: 0.877640
Train 112, loss: 1.430808, train acc: 0.940378, train avg acc: 0.908842
Test 112, loss: 1.468247, test acc: 0.908023, test avg acc: 0.871314
Train 113, loss: 1.429858, train acc: 0.944387, train avg acc: 0.917829
Test 113, loss: 1.463393, test acc: 0.914506, test avg acc: 0.878453
Train 114, loss: 1.426376, train acc: 0.943462, train avg acc: 0.913123
Test 114, loss: 1.500762, test acc: 0.895867, test avg acc: 0.873785
Train 115, loss: 1.422449, train acc: 0.946649, train avg acc: 0.920898
Test 115, loss: 1.471452, test acc: 0.898703, test avg acc: 0.859384
Train 116, loss: 1.422290, train acc: 0.948602, train avg acc: 0.922385
Test 116, loss: 1.469366, test acc: 0.905592, test avg acc: 0.867965
Train 117, loss: 1.428528, train acc: 0.942331, train avg acc: 0.912430
Test 117, loss: 1.477514, test acc: 0.907618, test avg acc: 0.885843
Train 118, loss: 1.419965, train acc: 0.948808, train avg acc: 0.924318
Test 118, loss: 1.453994, test acc: 0.920178, test avg acc: 0.890541
Train 119, loss: 1.418042, train acc: 0.947780, train avg acc: 0.921198
Test 119, loss: 1.460963, test acc: 0.916126, test avg acc: 0.882628
Train 120, loss: 1.418157, train acc: 0.947060, train avg acc: 0.918314
Test 120, loss: 1.461078, test acc: 0.913695, test avg acc: 0.881471
Train 121, loss: 1.418753, train acc: 0.949116, train avg acc: 0.920704
Test 121, loss: 1.462499, test acc: 0.906807, test avg acc: 0.876552
Train 122, loss: 1.421586, train acc: 0.942845, train avg acc: 0.915179
Test 122, loss: 1.488010, test acc: 0.898703, test avg acc: 0.859686
Train 123, loss: 1.420395, train acc: 0.950555, train avg acc: 0.926734
Test 123, loss: 1.463806, test acc: 0.912075, test avg acc: 0.891116
Train 124, loss: 1.419844, train acc: 0.943565, train avg acc: 0.917154
Test 124, loss: 1.466906, test acc: 0.920178, test avg acc: 0.892076
Train 125, loss: 1.421115, train acc: 0.948191, train avg acc: 0.923781
Test 125, loss: 1.482349, test acc: 0.908833, test avg acc: 0.872895
Train 126, loss: 1.419439, train acc: 0.947882, train avg acc: 0.918970
Test 126, loss: 1.466549, test acc: 0.910454, test avg acc: 0.891622
Train 127, loss: 1.413759, train acc: 0.949116, train avg acc: 0.923391
Test 127, loss: 1.449951, test acc: 0.917747, test avg acc: 0.893628
Train 128, loss: 1.411741, train acc: 0.950041, train avg acc: 0.924909
Test 128, loss: 1.455831, test acc: 0.920989, test avg acc: 0.885174
Train 129, loss: 1.412325, train acc: 0.949938, train avg acc: 0.925532
Test 129, loss: 1.471692, test acc: 0.909643, test avg acc: 0.870878
Train 130, loss: 1.417790, train acc: 0.946238, train avg acc: 0.919015
Test 130, loss: 1.490252, test acc: 0.899109, test avg acc: 0.867936
