Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.7, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Test 140, loss: 1.465716, test acc: 0.918558, test avg acc: 0.874953
Train 141, loss: 1.551020, train acc: 0.923725, train avg acc: 0.881154
Test 141, loss: 1.483890, test acc: 0.914506, test avg acc: 0.859465
Train 142, loss: 1.550422, train acc: 0.922697, train avg acc: 0.874719
Test 142, loss: 1.476542, test acc: 0.916126, test avg acc: 0.877837
Train 143, loss: 1.553539, train acc: 0.921669, train avg acc: 0.877217
Test 143, loss: 1.471713, test acc: 0.914506, test avg acc: 0.866587
Train 144, loss: 1.555392, train acc: 0.920436, train avg acc: 0.872696
Test 144, loss: 1.486502, test acc: 0.907618, test avg acc: 0.866634
Train 145, loss: 1.551269, train acc: 0.920436, train avg acc: 0.875623
Test 145, loss: 1.464786, test acc: 0.920178, test avg acc: 0.875878
Train 146, loss: 1.547899, train acc: 0.921772, train avg acc: 0.880052
Test 146, loss: 1.475287, test acc: 0.913290, test avg acc: 0.870541
Train 147, loss: 1.550440, train acc: 0.922286, train avg acc: 0.875932
Test 147, loss: 1.476458, test acc: 0.910859, test avg acc: 0.869331
Train 148, loss: 1.543937, train acc: 0.923931, train avg acc: 0.879141
Test 148, loss: 1.469771, test acc: 0.917342, test avg acc: 0.884919
Train 149, loss: 1.545149, train acc: 0.927529, train avg acc: 0.886374
Test 149, loss: 1.463354, test acc: 0.915316, test avg acc: 0.874494
Train 150, loss: 1.547692, train acc: 0.922595, train avg acc: 0.876149
Test 150, loss: 1.472389, test acc: 0.914911, test avg acc: 0.865337
Train 151, loss: 1.542398, train acc: 0.924959, train avg acc: 0.879767
Test 151, loss: 1.476983, test acc: 0.908428, test avg acc: 0.854959
Train 152, loss: 1.548018, train acc: 0.924034, train avg acc: 0.881885
Test 152, loss: 1.468607, test acc: 0.912885, test avg acc: 0.868831
Train 153, loss: 1.535415, train acc: 0.929276, train avg acc: 0.887097
Test 153, loss: 1.466498, test acc: 0.912075, test avg acc: 0.861872
Train 154, loss: 1.543451, train acc: 0.923520, train avg acc: 0.879093
Test 154, loss: 1.474846, test acc: 0.914506, test avg acc: 0.878035
Train 155, loss: 1.539603, train acc: 0.927837, train avg acc: 0.888282
Test 155, loss: 1.474813, test acc: 0.908833, test avg acc: 0.872291
Train 156, loss: 1.536632, train acc: 0.927529, train avg acc: 0.886988
Test 156, loss: 1.460284, test acc: 0.920178, test avg acc: 0.874244
Train 157, loss: 1.537904, train acc: 0.925370, train avg acc: 0.883381
Test 157, loss: 1.471370, test acc: 0.920583, test avg acc: 0.875541
Train 158, loss: 1.538346, train acc: 0.925781, train avg acc: 0.884132
Test 158, loss: 1.459849, test acc: 0.920178, test avg acc: 0.883669
Train 159, loss: 1.536133, train acc: 0.926809, train avg acc: 0.883588
Test 159, loss: 1.477692, test acc: 0.908833, test avg acc: 0.869669
Train 160, loss: 1.534411, train acc: 0.928351, train avg acc: 0.889807
Test 160, loss: 1.452773, test acc: 0.925041, test avg acc: 0.890663
Train 161, loss: 1.525548, train acc: 0.935650, train avg acc: 0.898352
Test 161, loss: 1.463718, test acc: 0.918963, test avg acc: 0.871884
Train 162, loss: 1.531773, train acc: 0.932771, train avg acc: 0.895575
Test 162, loss: 1.469404, test acc: 0.915721, test avg acc: 0.875465
Train 163, loss: 1.536244, train acc: 0.924856, train avg acc: 0.884046
Test 163, loss: 1.466345, test acc: 0.919773, test avg acc: 0.882715
Train 164, loss: 1.532284, train acc: 0.929790, train avg acc: 0.891695
Test 164, loss: 1.472423, test acc: 0.916937, test avg acc: 0.874837
Train 165, loss: 1.534971, train acc: 0.927426, train avg acc: 0.885107
Test 165, loss: 1.469846, test acc: 0.912075, test avg acc: 0.873965
Train 166, loss: 1.531635, train acc: 0.932360, train avg acc: 0.892868
Test 166, loss: 1.461258, test acc: 0.924230, test avg acc: 0.881744
Train 167, loss: 1.530204, train acc: 0.931229, train avg acc: 0.891502
Test 167, loss: 1.459043, test acc: 0.918152, test avg acc: 0.873878
Train 168, loss: 1.522667, train acc: 0.931024, train avg acc: 0.890690
Test 168, loss: 1.452713, test acc: 0.921394, test avg acc: 0.875703
Train 169, loss: 1.526715, train acc: 0.932977, train avg acc: 0.894974
Test 169, loss: 1.455972, test acc: 0.922609, test avg acc: 0.883250
Train 170, loss: 1.521925, train acc: 0.934930, train avg acc: 0.897490
Test 170, loss: 1.459716, test acc: 0.916532, test avg acc: 0.878378
Train 171, loss: 1.522994, train acc: 0.935238, train avg acc: 0.896128
Test 171, loss: 1.479348, test acc: 0.917342, test avg acc: 0.885134
Train 172, loss: 1.523993, train acc: 0.934725, train avg acc: 0.898451
Test 172, loss: 1.467991, test acc: 0.914911, test avg acc: 0.884041
Train 173, loss: 1.522285, train acc: 0.935033, train avg acc: 0.896623
Test 173, loss: 1.483515, test acc: 0.913695, test avg acc: 0.875093
Train 174, loss: 1.519308, train acc: 0.936369, train avg acc: 0.899402
Test 174, loss: 1.468012, test acc: 0.914506, test avg acc: 0.872081
Train 175, loss: 1.526450, train acc: 0.933285, train avg acc: 0.898443
Test 175, loss: 1.465278, test acc: 0.918152, test avg acc: 0.877965
Train 176, loss: 1.529022, train acc: 0.930099, train avg acc: 0.889634
Test 176, loss: 1.463881, test acc: 0.919368, test avg acc: 0.879163
Train 177, loss: 1.519450, train acc: 0.934108, train avg acc: 0.895636
Test 177, loss: 1.455961, test acc: 0.919368, test avg acc: 0.885797
Train 178, loss: 1.524327, train acc: 0.934827, train avg acc: 0.896259
